TAXON_ORDER,CATEGORY,SPECIES_CODE,SciName,SciName_updated,PRIMARY_COM_NAME,ORDER1,FAMILY,SPECIES_GROUP,REPORT_AS
1631,species,sanpar1,Ammoperdix heyi,Ammoperdix heyi,Sand Partridge,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)","Grouse, Quail, and Allies",NA
505,species,mallar3,Anas platyrhynchos,Anas platyrhynchos,Mallard,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,NA
31160,species,tawpip1,Anthus campestris,Anthus campestris,Tawny Pipit,Passeriformes,Motacillidae (Wagtails and Pipits),Wagtails and Pipits,NA
31215,species,retpip,Anthus cervinus,Anthus cervinus,Red-throated Pipit,Passeriformes,Motacillidae (Wagtails and Pipits),Wagtails and Pipits,NA
31198,species,meapip1,Anthus pratensis,Anthus pratensis,Meadow Pipit,Passeriformes,Motacillidae (Wagtails and Pipits),Wagtails and Pipits,NA
31133,species,lobpip1,Anthus similis,Anthus similis,Long-billed Pipit,Passeriformes,Motacillidae (Wagtails and Pipits),Wagtails and Pipits,NA
31216,species,watpip1,Anthus spinoletta,Anthus spinoletta,Water Pipit,Passeriformes,Motacillidae (Wagtails and Pipits),Wagtails and Pipits,NA
31202,species,trepip,Anthus trivialis,Anthus trivialis,Tree Pipit,Passeriformes,Motacillidae (Wagtails and Pipits),Wagtails and Pipits,NA
4082,species,litswi1,Apus affinis,Apus affinis,Little Swift,Caprimulgiformes,Apodidae (Swifts),Swifts,NA
4041,species,comswi,Apus apus,Apus apus,Common Swift,Caprimulgiformes,Apodidae (Swifts),Swifts,NA
4024,species,alpswi1,Apus melba,Apus melba,Alpine Swift,Caprimulgiformes,Apodidae (Swifts),Swifts,NA
4024,species,alpswi1,Tachymarptis melba,Apus melba,Alpine Swift,Caprimulgiformes,Apodidae (Swifts),Swifts,NA
4048,species,palswi3,Apus pallidus,Apus pallidus,Pallid Swift,Caprimulgiformes,Apodidae (Swifts),Swifts,NA
7799,species,goleag,Aquila chrysaetos,Aquila chrysaetos,Golden Eagle,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)","Vultures, Hawks, and Allies",NA
7811,species,boneag2,Aquila fasciata,Aquila fasciata,Bonelli's Eagle,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)","Vultures, Hawks, and Allies",NA
7811,species,boneag2,Hieraaetus fasciatus,Aquila fasciata,Bonelli's Eagle,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)","Vultures, Hawks, and Allies",NA
